id,code
unit,U-----
unit:combat:infantry,UCI---
unit:combat:infantry:infantry-motorized,UCIM--
unit:combat:infantry:infantry-mechanized,UCIZ--
unit:combat:armor,UCA---
unit:combat:air-defense:air-defense-missile,UCDM--
unit:combat:air-defense:targeting-unit,UCDT--
unit:combat:air-defense:gun,UCDG--
unit:combat:field-artillery,UCF---
unit:combat:field-artillery:howitzer,UCFH--
installation,I-----
installation:base,IB----
installation:base:airbase,IBA---
installation:base:navalbase,IBN---
installation:transport-facility,IT----
